ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Healthy
1,0,1,1,3.0,60.0,0,0,3,5.0,0,1,0,12.0,1.0,0,1.0,30.0,1
3,4,2,0,12.0,67.0,0,0,1,1.0,1,0,0,10.0,1.0,1,0.0,92.0,1
4,13,1,1,13.0,35.0,1,3,3,4.0,0,0,0,12.0,2.0,3,1.0,75.0,1
5,2,1,1,13.0,35.0,1,3,3,3.0,1,1,0,9.0,1.0,3,0.0,64.0,0
6,0,1,0,2.0,42.0,1,3,3,0.0,1,0,0,11.0,3.0,3,2.0,85.0,1
7,10,0,1,8.0,50.0,1,0,2,2.0,0,0,0,8.0,1.0,1,0.0,53.0,1
8,2,1,0,11.0,66.0,0,0,1,2.0,0,1,1,9.0,2.0,1,2.0,85.0,0
9,0,1,1,12.0,28.0,0,2,2,2.0,1,1,0,11.0,2.0,2,0.0,65.0,0
10,3,1,0,11.0,49.0,0,0,3,3.0,0,1,0,11.0,2.0,3,0.0,38.0,0
11,12,0,1,2.0,64.0,1,3,0,3.0,1,1,0,11.0,2.0,0,1.0,87.0,1
12,13,1,0,7.0,20.0,0,1,0,2.0,1,1,0,13.0,3.0,0,1.0,78.0,0
14,7,0,0,10.0,56.0,1,0,0,3.0,1,0,0,10.0,2.0,1,1.0,90.0,1
16,11,2,1,13.0,48.0,1,3,0,3.0,0,0,1,8.0,2.0,3,4.0,54.0,1
17,6,0,1,4.0,66.0,1,3,0,2.0,0,0,0,11.0,1.0,3,1.0,77.0,1
18,2,1,0,2.0,46.0,1,0,2,2.0,0,1,0,8.0,2.0,2,1.0,48.0,1
19,3,1,0,11.0,87.0,1,1,2,3.0,0,0,0,13.0,2.0,0,0.0,70.0,0
20,9,0,0,11.0,44.0,1,0,0,4.0,1,0,0,10.0,1.0,0,0.0,63.0,0
21,11,2,0,7.0,46.0,0,3,3,3.0,1,0,0,11.0,0.0,0,2.0,70.0,1
22,4,2,1,3.0,26.0,1,0,2,3.0,0,1,0,12.0,1.0,3,1.0,82.0,1
23,7,0,0,11.0,38.0,1,3,3,1.0,1,0,0,12.0,1.0,2,1.0,100.0,1
24,3,1,1,9.0,65.0,0,0,2,3.0,0,0,0,12.0,1.0,3,1.0,74.0,1
25,9,0,1,6.0,65.0,1,1,2,1.0,1,1,0,8.0,2.0,2,1.0,74.0,1
26,4,2,1,10.0,15.0,0,2,3,3.0,0,1,0,8.0,3.0,2,1.0,72.0,0
27,1,2,1,11.0,52.0,0,0,2,4.0,1,1,0,11.0,1.0,0,0.0,75.0,1
28,11,2,0,13.0,32.0,0,2,3,4.0,0,0,0,13.0,2.0,1,2.0,66.0,1
29,13,1,0,13.0,26.0,1,3,0,5.0,0,0,0,10.0,1.0,3,2.0,54.0,1
30,12,0,1,2.0,66.0,0,0,1,1.0,1,1,0,14.0,1.0,2,1.0,43.0,1
